1.056141709579000061e-05 -1.507361293563999963e-04 -1.130580576032000020e-04 -1.130580583560000053e-04 -1.234051519360000108e-04 -1.234051519360000108e-04 -1.234051519360000108e-04 -1.131562070133000013e-04 6.013568528680000025e-01 5.996909086350999951e-01 2.261161167120000106e-04 9.555937722709000298e-08 9.999990285487999619e-01 -1.066024386820999937e-10
1.329603636645000006e-05 -2.388931945231999884e-04 -1.791848679878999906e-04 -1.791848698787000072e-04 -1.955799657178000043e-04 -1.955799657178000043e-04 -1.955799657178000043e-04 -1.793404006382999885e-04 6.013564587951000240e-01 5.996905834105999977e-01 3.583697397574999778e-04 1.514513199402999997e-07 9.999984603617999568e-01 -1.689500025179999997e-10
1.673871805787000120e-05 -3.786014330861999888e-04 -2.839886821446999847e-04 -2.839886868943000036e-04 -3.099632603051000255e-04 -3.099632603051000255e-04 -3.099632603051000255e-04 -2.842351253004999885e-04 6.013558348706999901e-01 5.996900692062000493e-01 5.679773737886000071e-04 2.400339483593999843e-07 9.999975598554999845e-01 -2.677587297614999882e-10
2.107279752391000104e-05 -5.999957015203000524e-04 -4.500912380103999741e-04 -4.500912499408000014e-04 -4.912333020381999971e-04 -4.912333020381999971e-04 -4.912333020381999971e-04 -4.504816746838999743e-04 6.013548451607000356e-01 5.996892521857000169e-01 9.001824998816999662e-04 3.804276246811000229e-07 9.999961326795999694e-01 -4.243474228919000105e-10
2.652908030043999967e-05 -9.508107227719000141e-04 -7.133453056992999615e-04 -7.133453356677000104e-04 -7.784886218882000391e-04 -7.784886218882000391e-04 -7.784886218882000391e-04 -7.139637308670999894e-04 6.013532769414999812e-01 5.996879592288999472e-01 1.426690671334999950e-03 6.029357809880000508e-07 9.999938708305999846e-01 -6.724906135423999901e-10
3.339813334175000296e-05 -1.506636129881999903e-03 -1.130573021640000073e-03 -1.130573096912000077e-03 -1.233661343839999921e-03 -1.233661343839999921e-03 -1.233661343839999921e-03 -1.131552217000999930e-03 6.013507923244999498e-01 5.996859101170000095e-01 2.261146193824000155e-03 9.555853685807000351e-07 9.999902862288000405e-01 -1.065685547762999941e-09
4.204575877041999790e-05 -2.387110706873999885e-03 -1.791829704886000038e-03 -1.791829893948000034e-03 -1.954819705036000069e-03 -1.954819705036000069e-03 -1.954819705036000069e-03 -1.793379258073999998e-03 6.013468542587999677e-01 5.996826620238999705e-01 3.583659787896000069e-03 1.514492091101000069e-06 9.999846054819999663e-01 -1.688654055949999899e-09
5.293247417425000248e-05 -3.781440740725000062e-03 -2.839839159253999996e-03 -2.839839634123000021e-03 -3.097171567416000162e-03 -3.097171567416000162e-03 -3.097171567416000162e-03 -2.842289092333000200e-03 6.013406138521999456e-01 5.996775147666999484e-01 5.679679268244999975e-03 2.400286467986999905e-06 9.999756032620999990e-01 -2.675466522593000158e-09
6.663803684710000493e-05 -5.988473277590999899e-03 -4.500792669235999938e-03 -4.500793861906000025e-03 -4.906153147878999747e-03 -4.906153147878999747e-03 -4.906153147878999747e-03 -4.504660631101000193e-03 6.013307259847999742e-01 5.996693583444000497e-01 9.001587723811000849e-03 3.804143091837000119e-06 9.999613386200999487e-01 -4.238147535227999691e-09
8.389231797889000670e-05 -9.479279685893999760e-03 -7.133152398614999758e-03 -7.133155393863999973e-03 -7.769370911759000166e-03 -7.769370911759000166e-03 -7.769370911759000166e-03 -7.139245259723999912e-03 6.013150612632000014e-01 5.996564347682999951e-01 1.426631078773000008e-02 6.029023399532000290e-06 9.999387379992999980e-01 -6.711529498385999946e-09
